title;date;content
Análisis topológico de datos – Mapper;2022-07-04T03:29:20+00:00;Siempre me interesó bastante la topología (algebraica, particularmente), pero la consciencia sobre mis limitaciones hacia el álgebra me impidió adentrarme de lleno y por eso terminé dedicándome a algo un poco más mundano como los procesos estocásticos y la probabilidad. Creo que también tengo serias limitaciones en eso, pero digamos que es otra historia. Hace ya bastante tiempo escuché por primera vez el término de análisis topológico de datos, pero nunca había dedicado un rato serio para estudiar de qué se trata (desde que lo vi creí que el nombre es bastante fancy, eso sí). Como el tema es la intersección entre un interés nunca explotado y mi trabajo actual, creo el rato para estudiarlo está más que merecido. El momento es ahora, y por eso utilizaré estas notas para ir colocando algunos elementos básicos pero que me han ayudado a entender mucho más el tema. Toda esta área de estudio parte de una idea bastante novedosa: preguntarse por la «forma» de los datos no tiene mucho sentido, pero sí lo tiene hacerse esa misma pregunta sobre estructuras continuas que preserven características de los datos iniciales. En esencia, a partir de un montón de datos, se pretenden estudiar invariantes topológicas de un espacio asociado a esos puntos. Y eso puede ser útil por muchas razones: permite, por ejemplo, aproximarse a una visualización de datos en dimensiones altas, hallar valores extremos, entre otros.  En esta(s) entrada(s) iré colocando conceptos básicos. En esta (primera) entrada mi objetivo es llegar hasta el algoritmo Mapper, que permite describir conjuntos de puntos en dimensiones altas como un complejo simplicial.   Sea  un conjunto de puntos dimensional. La envolvente convexa de  es el conjunto  dado por . (Piensen que la envolvente convexa es como tomar una cuerda de caucho alrededor de los puntos y soltarla. Todo el espacio que quede dentro de la cuerda de caucho es la envolvente convexa) Vamos a decir que el símplice dimensional  generado por  es . Cada uno de los  es un vértice de , y si , entonces  se dice una cara de .  Un complejo simplicial  en  es un conjunto de símplices que satisfacen las siguientes condiciones: Podemos (y debemos) extender el concepto para conjuntos abstractos. En efecto, dado un conjunto cualquiera , un complejo simplicial abstracto generado por , , es un conjunto  de subconjuntos finitos de  tal satisface: Sea  un número real. El complejo de Vietoris-Rips  es el conjunto de símplices  tales que  para todo par de vértices  de , donde  es la distancia euclídea usual (ciertamente este complejo se puede definir sobre cualquier espacio métrico).  Consideremos nuevamente un número real . El complejo de Čech  es el conjunto de todos los símplices  para los cuales se tiene que , donde  es la bola cerrada centrada en  y con radio . Hay una diferencia importante entre ambos complejos (en el de Vietoris-Rips, para que un conjunto  genere una cara del complejo es necesario que cualquier par de puntos esté a una distancia menor de , mientras que en el de Čech es necesario que las bolas alrededor de todos los puntos se intersecten). Es claro que . En esta sección vamos a definir otros conceptos de topología necesarios para lo que sigue: cubierta, homotopía y espacios contractibles. Sea  un espacio topológico. Una cubierta (abierta)  de  es una colección de conjuntos (abiertos) tales que  . Sean  dos espacios topológicos y  dos funciones continuas. Si existe un mapeo continuo  tales que para todo  se tiene  y , entonces  son homotópicos. Dos espacios topológicos  son homotópicos u homotópicamente equivalentes si existen dos funciones  tales que  y  son homotópicos a la identidad en  y  respectivamente.  Un espacio  es contractible si es homotópico a un punto. O en otras palabras, si la función identidad  es homotópica a una función constante. Un ejemplo clásico de los espacios contractibles son los conjuntos convexos. Soy un gran detractor de los anglicismos innecesarios, pero a veces no hay otro camino. No he logrado encontrar una traducción adecuada del nerve de una cubierta, por lo que usaré este término de ahora en adelante.  Dado un espacio topológico  y  una cubierta de , diremos que el nerve de   es el complejo simplicial abstracto  en el cual los vértices son los  y que las caras satisfacen que  si y solo si se tiene que  . El nerve theorem es un resultado sumamente útil porque establece una relación de homotopía entre un espacio topológico y el nerve de una cubierta del espacio, por lo que es posible estudiar el espacio  a partir de una cubierta.  Teorema. Sea  una cubierta de  que satisface que cualquier subcolección de ‘s es vacío o contractible. Luego,  y el nerve  son homotópicos. Una consecuencia directa del teorema anterior interesa mucho para el objetivo de analizar datos: si  es un conjunto de puntos finitos en , entonces el complejo de Čech  es homotópico a la unión . En efecto, cualquier intersección de bolas cerradas es vacía o es convexa y por lo tanto contractible. Además, el nerve de la cubierta  es justamente . Llegamos al punto central de esta entrada: el algoritmo Mapper. El objetivo de este algoritmo es brindar una representación de datos en altas dimensiones de una forma concreta y que permita ver rasgos cualitativos de los datos. Partamos de un conjunto de puntos , una función  y una cubierta  de . La descripción del algoritmo es la siguiente: El algoritmo luce corto y relativamente sencillo, pero tiene varios elementos que lo hacen bastante complejo: primero, no es claro de qué forma debería escogerse la cubierta , tampoco se dice nada acerca del clustering de los pullbacks .  Sobre la primera cuestión, lo usual es que si  es una función con valores en , entonces la cubierta sean intervalos de igual largo  que cubran . El largo  se llama la resolución de la cubierta, y el porcentaje de superposición de los intervalos consecutivos se llama la ganancia de la cubierta. Acerca del método de clustering lo cierto es que no hay nada escrito. A decir verdad, el método escogido depende ampliamente de la forma que tengan los conjuntos . Esto, sobra decirlo, es uno de los pasos fundamentales de todo el algoritmo, por lo que escoger bien el método es todo un reto en sí mismo. Veamos ahora toda esta maquinaria en marcha. Para ello voy a utilizar unos datos reales suficientemente interesantes pero que permitan de manera más o menos fácil ver el funcionamiento del algoritmo Mapper: los resultados de las pruebas Saber 11.  Particularmente, voy a tomar los puntajes de las áreas de matemáticas, lectura crítica, competencias ciudadanas y el puntaje general. Así, nuestros datos  serán el conjunto de todos los puntos en  con los resultados en cada una de estas tres primeras áreas.  La función  es relativamente sencilla de escoger en este caso: es simplemente el puntaje global de toda la prueba. No estoy muy seguro de cuál es la forma que tiene el ICFES para calcular este puntaje, pero asumo que es una especie de combinación lineal de los puntajes de cada área, por lo que en nuestro caso   va a ser simplemente la regresión lineal de estos datos junto al puntaje general de la prueba. Resulta ser que la mezcla de los puntajes es relativamente equitativa, pues los coeficientes de la regresión son . La representación de estos puntos en el espacio es la siguiente (el color está codificado por la función ): Como puede verse, son unos datos relativamente amigables para analizar y la «forma» que deberíamos esperar del resultado final de Mapper es relativamente intuitiva: una gran nube de puntos en la mitad, y otras nubes de puntos alejadas (puntajes perfectos en algunas áreas, de hecho) casi como outliers. Evidentemente, en este caso tridimensional podemos ver eso sin necesidad de un algoritmo sofisticado como Mapper (justamente por eso escogí hacerlo así), pero si consideráramos, por ejemplo, todos los resultados de todas las áreas ya no sería tan trivial imaginarse cómo debería ser el símplice resultante. Comencemos. Vamos a escoger la cubierta  de  como los intervalos abiertos dados por . Donde  está dado por el valor mínimo de ,  es el valor máximo,  es la ganancia de la cubierta,  y  es el total de intervalos que se escogerán. El objetivo de  es que haya una intersección entre intervalos sucesivos con el objetivo de que el nerve pueda ser más robusto. En este ejemplo, escogeremos .  Dado un , el clustering de  lo haremos por medio de DBSCAN utilizando  y el número de puntos mínimo va a ser  (estos parámetros los hallé después de varios ensayos y errores).  Finalmente, después de escribir la rústica implementación para este caso en particular, el resultado es el siguiente grafo: Las cuatro componentes conexas del grafo parecen corresponder directamente con las nube de puntos en . Además, los nodos del grafo están coloreados de acuerdo con el valor medio de  en el cluster que representan los nodos, por lo que el grafo resultante es bastante cercano de lo que hubiéramos esperado. Y esto es todo por ahora. El análisis topológico de datos es un área naciente, y esto es solamente la puerta de entrada, pero muestra de manera muy clara cuáles son las técnicas y las ideas subyacentes utilizadas. El código utilizado en esta entrada está en este repositorio.  
Petro;2022-06-19T23:50:49+00:00;"Quiero comenzar esta entrada mostrando lo que yo escribía hace cuatro años a esta misma hora: Desde entonces, y mientras en la mitad hubo una pandemia, un sinfín de vaivenes políticos y un cambio evidente en las condiciones de mi vida, me fui volviendo un feroz opositor de lo que es Petro. Fue tanta mi oposición a su persona y a muchas de sus ideas plasmadas en el actual plan de gobierno, que me planteé seriamente marcar en el tarjetón la cara de un candidato que desde todos los lados era pésimo: Rodolfo Hernandez. Resistirme a Petro no es resistirme a una idea de que Colombia es un país injusto, ni negar que han habido y hay ciudadanos de primera, de segunda y de tercera categoría. No es negar que la corrupción corroe el estado a unas instancias fundamentales e inaceptables; ni es girar la cara ante una informalidad de un 50%, o ante unos niveles de pobreza y de exclusión que debería hacernos llorar de tan siquiera pensarlo. No es ignorar que Petro es un hombre inmensamente valiente, que puso su vida en juego para destapar la parapolítica. Resistirme a Petro es más bien resistirme a alguien del que he comenzado a desconfiar profundamente.  Me preocupa que quien tenga ahora la sagrada responsabilidad de cuidar la democracia, en reiteradas ocasiones haya sostenido que no existe tal cosa. Si la misión de alguien es defender algo que no considera que existe, cualquier cosa es válida (¿se acuerdan cuando Uribe decía que no existía conflicto interno?). Me preocupa la persona que anoche sugería que la registraduría ya tenía los resultados antes de las votaciones, por ejemplo. Me preocupa que Petro proponga y defienda suicidios económicos, que a la larga solo terminan exacerbando y profundizando problemas y descontentos sociales. Me preocupa la inflación, que es el mayor asesino de la clase media. Me preocupa su ligereza (tibieza) frente al terrible y corrupto gobierno de Venezuela. El argumento es que, básicamente, me preocupa que la medicina pueda ser peor que la enfermedad. Pero definitivamente no pienso en un debacle automático ni en una Venezuela 2.0, y no creo que nadie razonable debería pensarlo. Y las palabras que escogí en los párrafos anteriores fueron cuidadosas: «me preocupa». No podría decir de antemano, como muchos, que el sufrimiento está asegurado con Petro. Pero ciertamente tampoco descarto que en una suma de malas decisiones, un camino mucho más sinuoso puede empezarse a ver en Colombia.  A pesar de todo, sería miope no decir que esto era inevitable. Colombia, un país avasallado por décadas de gobiernos clasistas e ignorantes del país que gobernaban, acaba de elegir a alguien que encarna el anhelo de millones de personas de por fin ser incluidos en una sociedad que los ha relegado a un oscuro e indigno rincón. Petro era esa ilusión, y sería inútil y mezquino no entender eso. Por mi parte, no puedo más que desear que Colombia avance, que se reduzcan las brechas inadmisibles pero de forma responsable. Que no le toquen un pelo a nuestro próximo presidente, y que le hagan el control político que merece en momentos concretos. Petro es UN cambio, quedamos pendientes para ver si es EL cambio. Yo espero que sí, aunque hoy esté preocupado. "
Leer;2022-04-05T05:13:51+00:00;En el colegio fui un lector bastante asiduo (al menos creo recordarlo). A pesar del calor sofocante de Tuluá me gustaba caminar hacia La Cultura (tal vez la única librería decente en toda la ciudad y en la que podía quedarme un buen rato mirando sin que me molestaran. La librería quebró, dicho sea de paso, y con ello se llevó varios de los recuerdos más valiosos que tengo de mi infancia y juventud) y comprar algún libro, preferiblemente de algún autor que evocara cierta intelectualidad.  Leí en unas mismas vacaciones (las del 2012, lo recuerdo claramente por la Eurocopa que ganó España) a Montesquieu, Sartre, Dickens, Vallejo, Dickinson, Camus, y claro, a Borges. Muchísimo a Borges.  Con Borges conocí en ese entonces a un acompañante bondadoso que sigue conmigo, y que, espero con gran esperanza, siga estando aquí. No hay matemático o científico que no encuentre en Borges un gran compañero, supongo, y en ese entonces ya estaba naciendo en mí alguna vena matemática, aún cuando lo ignoraba profundamente. Esas primeras lecturas de Borges eran despiadadas. En Ficciones (primer libro de Borges que leí), el primer cuento es Tlön, Uqbar, Orbis Tertius. Algo así como asistir a una primera clase de atletismo y que a los 10 minutos estén mandando a todos a correr un maratón. Pero yo, ignorante y pedante, no era consciente de esa dificultad y seguía de largo, creyendo que devorar el libro en el menor tiempo posible era realmente el objetivo. Hoy puedo decir con toda seguridad que 10 años después y tras decenas de veces leyendo el cuento, aún no lo entiendo. Y es que probablemente no haya nada que entender concretamente. Cada lectura, no solo de Borges sino de cualquier cosa, aporta una visión única cada vez que se vuelve a ella. La lectura se compone de lo escrito, pero también lo que uno vive en el momento de leerlo. Pero esos aprendizajes, probablemente de los más valiosos que cualquier lector puede tener, eran bastante lejanos e improbables para ese adolescente perdido de 16 años. Me importaba leer, menos por lo que me dejara esa lectura que por la cantidad de libros que pudiera poner victorioso en mi repisa. Y es por eso que hoy entiendo que era (y quizás sigo siendo) un pésimo lector. Probablemente esa es la razón que me hace dudar de los que se jactan de la cantidad de libros leídos al finalizar el año. Un buen libro, creo, es inagotable. Por eso prefiero la relectura rigurosa.   
18 de marzo;2022-03-18T05:08:46+00:00;I never said that i was brave.
Tiempo;2022-02-09T05:10:43+00:00;El 3 de febrero del 2020 fue una mañana normal. Supongo que me levanté a eso de las 6:30 am, no sé si con la ayuda inclemente de la alarma o no, pero sospecho que fue sin ella. Me habré bañado rápidamente con agua caliente y seguramente comí arepa, huevo o granola. El recuerdo me dice con cierta seguridad que llegué en bicicleta a la oficina sobre las 7:40 am. Ignoro aún si esa mañana hizo frío o calor (mi mente, tan mediocre para imaginarse escenarios novedosos, recuerda ese día como una mañana brumosa). Después de ese prefacio exiguo que conservo seguramente por una obligación moral, las horas siguientes están completamente difuminadas, salvo un par de comentarios o conversaciones aisladas, de las que no conservo mas que un vago contexto. En esa misma mañana trivial, en el mismo momento en el que pedaleaba inocentemente hacia mi nuevo trabajo, unos millones de personas en China, en una ciudad desconocida para mí, estaban en cuarentena a causa de un virus. Otros tantos estaban probablemente en la mitad de un examen importante. Algunos otros estaban proponiendo matrimonio o divorciándose. Borges y su interpretación libre del idealismo podría decir que esos hechos que mencioné no eran en realidad contemporáneos. En nada tenía que ver yo, esperanzado y en camino hacia mi primer día, con las personas encerradas en China, con el estudiante esforzándose en su examen, con el enamorado proponiendo matrimonio o con los desventurados esposos que ponían fin a su relación.   Podría atreverme a ir más lejos: no tienen relación aquel que escribe estas torpes líneas, con el que entró a Comfama en esa mañana de hace dos años. Sé que él, que se supone que soy yo, de una forma u otra comenzó con un ciclo de acontecimientos que terminan en alguien que escribe esto, que también soy yo. Pero posiblemente esa relación de causalidad y de caos que nos trae hasta el momento en el que tecleo erráticamente no es mas que la ilusión necesaria para explicar el presente. ¿Qué es la vida sino una sucesión inagotable de minúsculos presentes? Podríamos permitirnos decir que esos presentes son inconexos e independientes, y que básicamente cada momento que vivimos es la única realidad posible. Ciertamente no necesito recordar mi segundo día en Comfama, ni el tercero o el vigésimo cuarto para estar dentro de treinta y dos días leyendo un libro de Nabokov. Y desde luego no necesito en un futuro recordar los cuentos de Nabokov para comprar un celular o ver una película. Una explicación es que el decurso de la vida es fundamentalmente vacío, insustancial y aburrido. Pero otra, más optimista pero brutalmente atrevida, necesitaría obligatoriamente poner en duda la continuidad del tiempo, tal como el argentino extraviado en la metafísica lo intentó hacer y del que hoy, groseramente, me copio en su idea.  Realmente no me interesaba ser profundo. Comencé a escribir pensando en el tan problemático paso del tiempo, y terminé caricaturizando una idea compleja del idealismo. Uno no escoge los caminos que va a recorrer, supongo. 
2 de febrero;2022-02-02T05:11:05+00:00;Y aún así, el sol sale.
25 de enero;2022-01-26T01:59:28+00:00;Creo que en la gran mayoría de mi vida consciente he sufrido del síndrome del impostor. Antes descartaba de tajo la idea, y sospecho que no aceptar que se sufre del síndrome es justamente una manifestación de él.  Cuando estudiaba matemáticas sentirme mediocre era bastante común. Me gradué con honores y aún así nunca creí estar a la altura de alguien que podía llegar a ser un matemático de verdad. Probablemente estaba en lo correcto, o tal vez solo decidí que así debía ser.  Decidí no entrar a un doctorado porque sentía pavor de los exámenes de calificación y de no lograr encontrar ningún trabajo académico. Decidí dedicarme a la industria porque creía que así podía disimular mi mediocridad.  El problema es que la academia nunca hace ver el síndrome como lo que de verdad es: una condición psicológica. Mas bien, presionar hasta la náusea a los estudiantes es simplemente parte del paisaje, una prueba incuestionable que deben pasar con gran ascetismo aquellos que de verdad quieran entrar en ese mundillo.  
2021;2021-12-31T15:50:11+00:00;"Ni el pormenor simbólicode reemplazar un tres por un dosni esa metáfora baldíaque convoca un lapso que muere y otro que surgeni el cumplimiento de un proceso astronómicoaturden y socavanla altiplanicie de esta nochey nos obligan a esperarlas doce irreparables campanadas.La causa verdaderaes la sospecha general y borrosadel enigma del Tiempo;es el asombro ante el milagrode que a despecho de infinitos azares,de que a despecho de que somoslas gotas del río de Heráclito,perdure algo en nosotros:inmóvil. Borges."
Comfama;2021-10-14T04:40:03+00:00;El romanticismo y la vida laboral son de esas cosas de las que no se espera una convergencia, o al menos no una natural. Las empresas y el trabajo suelen proyectar un matiz grisáceo, aburrido, tedioso. Cansón, para ponerlo simple. Pero es que se supone que sí es así de brutalmente simple: al fin y al cabo, se dice que trabajamos para poder comer. Además, después de todo, ver el trabajo desde una óptica romántica quizás no es más que una de las muchas manifestaciones del privilegio, por lo que buscar el lado bello de trabajar parece un sinsentido. Tenemos tallada en nuestro cerebro esa máxima de que trabajamos porque toca y punto. Sentirse bien en un trabajo casi que está mal visto. Cuando aún era un estudiante romántico de matemáticas la posibilidad de trabajar en la industria me parecía impúdica. Creía, con una firmeza bastante tierna, que usar la pureza de las matemáticas para problemas de la industria era demasiado mundano. Los estudiantes de ciencia no brillamos por nuestra humildad, valga decirse, pero detrás de esa reflexión estaba la idea de la industria como una entidad fundamentalmente mala. Quizás ese pensamiento se explica un poco al decir que tuve una época de socialista heterodoxo, pero tal vez luego deba escribir sobre eso. En síntesis, me era imposible pensar que se podía trabajar en un lugar fuera de la academia y a la vez hacerlo en una organización con sentido. Y es que nunca pensé mucho en aquello del sentido, pero sabía que tenía que ver con el hecho de ir más allá de las utilidades económicas. Estoy lejos de ser una persona ascética, pero la plata rara vez ha motivado mis más grandes decisiones. Es por eso por lo que pensar en estar en un lugar cuyo único objetivo fuese hacer plata desafiaba un poco mis ideales. Pero ese solo razonamiento suena absurdo: trabajar en una empresa privada es, por mera definición, trabajar en un lugar que busca ganar plata como objetivo fundamental. Estaba en un conflicto un poco desagradable. Pero he ido aprendiendo que los sitios que no conocemos suelen traernos las respuestas a nuestros dilemas. Y es que fue así, en una de esas movidas misteriosas de la vida, después de varios ires y venires interesantes, que llegué a un lugar en el que jamás hubiera imaginado. Trabajar en donde trabajo no solo permite ser romántico sino que, sorprendentemente, lo requiere. Hoy, creo que al final del día la sensación de ser parte de un lugar cuyo propósito está sostenido sobre una utopía es un combustible que difícilmente hubiese conseguido en otro lugar.  Sé que ese estudiante pedante y romántico se hubiera sentido feliz y orgulloso de saber que algún día iba a trabajar en Comfama. 
Destino;2021-09-03T04:38:48+00:00;Una samaria hermosa, auténtica, sensible, inteligente e inspiradora me acaba de robar. 
